gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,210,1536,4096,asm,0,1,22.5633,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,117.11,345.55,0.0
gfx942,304,210,1536,4096,asm,1,1,14.4706,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,182.61,538.8,0.0
gfx942,304,210,1536,4096,asm,2,1,16.738,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,157.87,465.81,0.0
gfx942,304,210,1536,4096,asm,3,1,19.3633,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,136.46,402.66,0.0
gfx942,304,210,1536,4096,asm,4,1,22.1633,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,119.22,351.79,0.0
gfx942,304,210,1536,4096,asm,5,1,26.9275,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,98.13,289.55,0.0
gfx942,304,210,4096,2048,asm,0,1,17.3696,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,202.84,606.75,0.0
gfx942,304,210,4096,2048,asm,1,1,10.4937,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,335.75,1004.32,0.0
gfx942,304,210,4096,2048,asm,2,1,11.8495,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,297.33,889.41,0.0
gfx942,304,210,4096,2048,asm,3,1,13.3274,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,264.36,790.78,0.0
gfx942,304,210,4096,2048,asm,4,1,15.1716,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,232.22,694.65,0.0
gfx942,304,210,4096,2048,asm,5,1,18.018,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,195.54,584.92,0.0
gfx942,304,210,4096,4096,asm,0,1,18.1422,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,388.4,1067.0,0.0
gfx942,304,210,4096,4096,asm,1,1,19.9464,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,353.27,970.49,0.0
gfx942,304,210,4096,4096,asm,2,1,21.8664,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,322.25,885.27,0.0
gfx942,304,210,4096,4096,asm,3,1,24.338,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,289.52,795.37,0.0
gfx942,304,210,4096,4096,asm,4,1,27.3654,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,257.49,707.38,0.0
gfx942,304,210,4096,4096,asm,5,1,33.8896,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,207.92,571.2,0.0
gfx942,304,210,8192,1024,asm,0,1,12.4979,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,281.9,963.7,0.0
gfx942,304,210,8192,1024,asm,1,1,12.3148,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,286.1,978.03,0.0
gfx942,304,210,8192,1024,asm,2,1,9.759,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,361.02,1234.17,0.0
gfx942,304,210,8192,1024,asm,3,1,10.8664,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,324.23,1108.4,0.0
gfx942,304,210,8192,1024,asm,4,1,11.7885,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,298.87,1021.7,0.0
gfx942,304,210,8192,1024,asm,5,1,13.7507,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,256.22,875.9,0.0
