gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,131072,1536,4096,asm,0,1,2588.7111,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,637.1,365.36,0.0
gfx942,304,131072,1536,4096,asm,1,1,2054.4597,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,802.77,460.37,0.0
gfx942,304,131072,1536,4096,asm,2,1,1869.0532,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,882.41,506.04,0.0
gfx942,304,131072,1536,4096,asm,3,1,1874.1711,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,880.0,504.66,0.0
gfx942,304,131072,1536,4096,asm,4,1,1834.0278,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,899.26,515.7,0.0
gfx942,304,131072,1536,4096,asm,5,1,1660.1227,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,993.46,569.73,0.0
gfx942,304,131072,4096,2048,asm,0,1,3623.0246,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,606.96,372.77,0.0
gfx942,304,131072,4096,2048,asm,1,1,3095.3036,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,710.44,436.33,0.0
gfx942,304,131072,4096,2048,asm,2,1,2818.2538,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,780.28,479.22,0.0
gfx942,304,131072,4096,2048,asm,3,1,2639.1095,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,833.24,511.75,0.0
gfx942,304,131072,4096,2048,asm,4,1,2610.8728,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,842.26,517.29,0.0
gfx942,304,131072,4096,2048,asm,5,1,2472.2414,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,889.49,546.29,0.0
gfx942,304,131072,8192,1024,asm,0,1,4497.2803,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,488.97,509.22,0.0
gfx942,304,131072,8192,1024,asm,1,1,3688.3346,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,596.21,620.9,0.0
gfx942,304,131072,8192,1024,asm,2,1,3316.6169,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,663.03,690.49,0.0
gfx942,304,131072,8192,1024,asm,3,1,3193.7962,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,688.53,717.04,0.0
gfx942,304,131072,8192,1024,asm,4,1,3114.4148,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,706.08,735.32,0.0
gfx942,304,131072,8192,1024,asm,5,1,2995.9345,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,734.0,764.4,0.0
