gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,27684,1536,4096,asm,0,1,563.8071,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,617.84,363.12,0.0
gfx942,304,27684,1536,4096,asm,1,1,455.8694,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,764.13,449.1,0.0
gfx942,304,27684,1536,4096,asm,2,1,416.8004,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,835.76,491.2,0.0
gfx942,304,27684,1536,4096,asm,3,1,398.4806,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,874.18,513.78,0.0
gfx942,304,27684,1536,4096,asm,4,1,393.6027,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,885.02,520.14,0.0
gfx942,304,27684,1536,4096,asm,5,1,381.2661,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,913.65,536.98,0.0
gfx942,304,27684,4096,2048,asm,0,1,791.7181,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,586.65,368.66,0.0
gfx942,304,27684,4096,2048,asm,1,1,671.8016,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,691.37,434.46,0.0
gfx942,304,27684,4096,2048,asm,2,1,604.2403,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,768.67,483.04,0.0
gfx942,304,27684,4096,2048,asm,3,1,568.5186,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,816.97,513.39,0.0
gfx942,304,27684,4096,2048,asm,4,1,559.5924,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,830.0,521.58,0.0
gfx942,304,27684,4096,2048,asm,5,1,536.3,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,866.05,544.23,0.0
gfx942,304,27684,4096,4096,asm,0,1,1356.1829,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,684.95,263.21,0.0
gfx942,304,27684,4096,4096,asm,1,1,1146.7664,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,810.03,311.27,0.0
gfx942,304,27684,4096,4096,asm,2,1,1013.0944,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,916.91,352.34,0.0
gfx942,304,27684,4096,4096,asm,3,1,955.5623,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,972.12,373.56,0.0
gfx942,304,27684,4096,4096,asm,4,1,936.5731,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,991.83,381.13,0.0
gfx942,304,27684,4096,4096,asm,5,1,909.6071,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1021.23,392.43,0.0
gfx942,304,27684,8192,1024,asm,0,1,941.5183,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,493.31,520.77,0.0
gfx942,304,27684,8192,1024,asm,1,1,790.5453,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,587.52,620.22,0.0
gfx942,304,27684,8192,1024,asm,2,1,711.8788,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,652.44,688.76,0.0
gfx942,304,27684,8192,1024,asm,3,1,690.6181,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,672.53,709.96,0.0
gfx942,304,27684,8192,1024,asm,4,1,666.9658,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,696.38,735.14,0.0
gfx942,304,27684,8192,1024,asm,5,1,624.5599,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,743.66,785.05,0.0
