gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,6100,1536,4096,asm,0,1,127.6251,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,601.42,391.9,0.0
gfx942,304,6100,1536,4096,asm,1,1,100.3475,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,764.9,498.43,0.0
gfx942,304,6100,1536,4096,asm,2,1,92.7728,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,827.35,539.13,0.0
gfx942,304,6100,1536,4096,asm,3,1,93.3854,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,821.92,535.59,0.0
gfx942,304,6100,1536,4096,asm,4,1,100.2758,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,765.45,498.79,0.0
gfx942,304,6100,1536,4096,asm,5,1,82.4761,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,930.64,606.43,0.0
gfx942,304,6100,4096,2048,asm,0,1,188.5549,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,542.77,375.77,0.0
gfx942,304,6100,4096,2048,asm,1,1,156.7343,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,652.96,452.06,0.0
gfx942,304,6100,4096,2048,asm,2,1,138.9302,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,736.64,509.99,0.0
gfx942,304,6100,4096,2048,asm,3,1,134.6145,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,760.25,526.34,0.0
gfx942,304,6100,4096,2048,asm,4,1,127.4861,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,802.76,555.77,0.0
gfx942,304,6100,4096,2048,asm,5,1,129.2082,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,792.06,548.36,0.0
gfx942,304,6100,8192,1024,asm,0,1,218.6747,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,468.01,523.96,0.0
gfx942,304,6100,8192,1024,asm,1,1,199.6833,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,512.52,573.8,0.0
gfx942,304,6100,8192,1024,asm,2,1,176.2983,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,580.5,649.91,0.0
gfx942,304,6100,8192,1024,asm,3,1,166.5615,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,614.43,687.9,0.0
gfx942,304,6100,8192,1024,asm,4,1,162.4521,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,629.98,705.3,0.0
gfx942,304,6100,8192,1024,asm,5,1,144.5007,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,708.24,792.92,0.0
