gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,37,1536,4096,asm,0,1,15.0829,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,30.87,434.71,0.0
gfx942,304,37,1536,4096,asm,1,1,13.0449,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,35.69,502.62,0.0
gfx942,304,37,1536,4096,asm,2,1,15.3964,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,30.24,425.86,0.0
gfx942,304,37,1536,4096,asm,3,1,17.7605,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,26.21,369.17,0.0
gfx942,304,37,1536,4096,asm,4,1,20.2047,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,23.04,324.51,0.0
gfx942,304,37,1536,4096,asm,5,1,25.6783,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,18.13,255.34,0.0
gfx942,304,37,4096,4096,asm,0,1,17.2069,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,72.15,1001.45,0.0
gfx942,304,37,4096,4096,asm,1,1,20.0532,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,61.91,859.31,0.0
gfx942,304,37,4096,4096,asm,2,1,20.5709,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,60.35,837.68,0.0
gfx942,304,37,4096,4096,asm,3,1,21.2467,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,58.43,811.04,0.0
gfx942,304,37,4096,4096,asm,4,1,22.291,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,55.7,773.04,0.0
gfx942,304,37,4096,4096,asm,5,1,26.4151,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,47.0,652.35,0.0
gfx942,304,37,8192,1024,asm,0,1,6.2766,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,98.9,1439.11,0.0
gfx942,304,37,8192,1024,asm,1,1,6.9019,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,89.94,1308.73,0.0
gfx942,304,37,8192,1024,asm,2,1,7.182,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,86.43,1257.69,0.0
gfx942,304,37,8192,1024,asm,3,1,8.0388,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,77.22,1123.64,0.0
gfx942,304,37,8192,1024,asm,4,1,8.7439,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,70.99,1033.03,0.0
gfx942,304,37,8192,1024,asm,5,1,10.6028,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,58.55,851.92,0.0
