gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,24,1536,4096,asm,0,1,12.7757,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,23.64,505.92,0.0
gfx942,304,24,1536,4096,asm,1,1,12.9041,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,23.4,500.89,0.0
gfx942,304,24,1536,4096,asm,2,1,15.1883,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,19.88,425.56,0.0
gfx942,304,24,1536,4096,asm,3,1,17.4093,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,17.35,371.27,0.0
gfx942,304,24,1536,4096,asm,4,1,20.0934,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,15.03,321.67,0.0
gfx942,304,24,1536,4096,asm,5,1,25.146,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,12.01,257.04,0.0
