gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,8192,1024,ck,0,0,16.6916,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1.01,503.61,0.0
gfx942,304,1,8192,1024,ck,1,0,10.1211,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1.66,830.54,0.0
gfx942,304,1,8192,1024,ck,2,0,7.0937,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,2.37,1185.0,0.0
gfx942,304,1,8192,1024,ck,3,0,6.6369,a8w8_blockscale_bpreshuffle_1x128x128_256x16x256x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,2.53,1266.56,0.0
gfx942,304,1,8192,1024,ck,4,0,5.86,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,2.86,1434.47,0.0
gfx942,304,1,8192,1024,ck,5,0,5.519,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,3.04,1523.1,0.0
gfx942,304,1,8192,1024,ck,6,0,5.3064,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,3.16,1584.13,0.0
gfx942,304,1,8192,1024,ck,7,0,4.8116,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.49,1747.03,0.0
gfx942,304,1,8192,1024,ck,8,0,9.6832,a8w8_blockscale_bpreshuffle_1x128x128_256x32x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1.73,868.1,0.0
gfx942,304,1,8192,1024,ck,9,0,6.7232,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,2.5,1250.3,0.0
gfx942,304,1,8192,1024,ck,10,0,6.0032,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,2.79,1400.26,0.0
gfx942,304,1,8192,1024,ck,11,0,6.7401,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,2.49,1247.16,0.0
gfx942,304,1,8192,1024,ck,12,0,5.7379,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,2.92,1465.0,0.0
gfx942,304,1,8192,1024,ck,13,0,13.8579,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1.21,606.59,0.0
gfx942,304,1,8192,1024,ck,14,0,10.7168,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1.57,784.38,0.0
gfx942,304,1,8192,1024,ck,15,0,7.7084,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,2.18,1090.5,0.0
gfx942,304,1,8192,1024,ck,16,0,17.1589,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,0.98,489.89,0.0
gfx942,304,1,8192,1024,ck,17,0,7.2537,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,2.31,1158.86,0.0
