gfx,cu_num,M,N,K
gfx942,304,120,4096,2048
gfx,cu_num,M,N,K
gfx942,304,72,4096,2048
gfx,cu_num,M,N,K
gfx942,304,96,4096,2048
gfx,cu_num,M,N,K
gfx942,304,48,4096,2048
