gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,24400,1536,4096,asm,0,1,505.3014,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,607.6,358.58,0.0
gfx942,304,24400,1536,4096,asm,1,1,403.7996,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,760.34,448.71,0.0
gfx942,304,24400,1536,4096,asm,2,1,369.9369,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,829.93,489.79,0.0
gfx942,304,24400,1536,4096,asm,3,1,362.5286,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,846.89,499.8,0.0
gfx942,304,24400,1536,4096,asm,4,1,357.6213,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,858.51,506.66,0.0
gfx942,304,24400,1536,4096,asm,5,1,343.5121,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,893.78,527.47,0.0
gfx942,304,24400,4096,2048,asm,0,1,694.6376,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,589.32,371.77,0.0
gfx942,304,24400,4096,2048,asm,1,1,597.5842,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,685.03,432.15,0.0
gfx942,304,24400,4096,2048,asm,2,1,531.3156,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,770.47,486.05,0.0
gfx942,304,24400,4096,2048,asm,3,1,504.6866,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,811.13,511.69,0.0
gfx942,304,24400,4096,2048,asm,4,1,492.5709,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,831.08,524.28,0.0
gfx942,304,24400,4096,2048,asm,5,1,476.9943,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,858.22,541.4,0.0
gfx942,304,24400,4096,4096,asm,0,1,1197.3715,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,683.77,264.42,0.0
gfx942,304,24400,4096,4096,asm,1,1,1013.153,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,808.1,312.49,0.0
gfx942,304,24400,4096,4096,asm,2,1,895.2558,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,914.52,353.65,0.0
gfx942,304,24400,4096,4096,asm,3,1,847.9659,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,965.52,373.37,0.0
gfx942,304,24400,4096,4096,asm,4,1,830.0588,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,986.35,381.42,0.0
gfx942,304,24400,4096,4096,asm,5,1,806.9539,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1014.59,392.35,0.0
gfx942,304,24400,8192,1024,asm,0,1,830.8525,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,492.7,521.32,0.0
gfx942,304,24400,8192,1024,asm,1,1,705.1469,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,580.54,614.26,0.0
gfx942,304,24400,8192,1024,asm,2,1,648.2256,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,631.51,668.2,0.0
gfx942,304,24400,8192,1024,asm,3,1,613.5987,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,667.15,705.91,0.0
gfx942,304,24400,8192,1024,asm,4,1,594.6769,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,688.38,728.37,0.0
gfx942,304,24400,8192,1024,asm,5,1,554.1111,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,738.78,781.69,0.0
