gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,18300,1536,4096,asm,0,1,378.3996,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,608.53,363.28,0.0
gfx942,304,18300,1536,4096,asm,1,1,299.6173,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,768.54,458.8,0.0
gfx942,304,18300,1536,4096,asm,2,1,285.649,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,806.12,481.24,0.0
gfx942,304,18300,1536,4096,asm,3,1,274.4554,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,839.0,500.87,0.0
gfx942,304,18300,1536,4096,asm,4,1,266.4407,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,864.23,515.93,0.0
gfx942,304,18300,1536,4096,asm,5,1,258.1524,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,891.98,532.5,0.0
gfx942,304,18300,4096,2048,asm,0,1,532.3793,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,576.7,367.75,0.0
gfx942,304,18300,4096,2048,asm,1,1,436.6981,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,703.06,448.32,0.0
gfx942,304,18300,4096,2048,asm,2,1,395.4963,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,776.3,495.03,0.0
gfx942,304,18300,4096,2048,asm,3,1,378.3617,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,811.45,517.44,0.0
gfx942,304,18300,4096,2048,asm,4,1,372.7429,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,823.69,525.24,0.0
gfx942,304,18300,4096,2048,asm,5,1,357.8736,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,857.91,547.07,0.0
gfx942,304,18300,8192,1024,asm,0,1,640.3004,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,479.5,510.63,0.0
gfx942,304,18300,8192,1024,asm,1,1,536.6677,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,572.09,609.23,0.0
gfx942,304,18300,8192,1024,asm,2,1,481.5987,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,637.51,678.9,0.0
gfx942,304,18300,8192,1024,asm,3,1,457.4347,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,671.18,714.76,0.0
gfx942,304,18300,8192,1024,asm,4,1,438.9633,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,699.43,744.83,0.0
gfx942,304,18300,8192,1024,asm,5,1,424.1276,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,723.89,770.89,0.0
