T,H,D,kv_len,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
4,16,512,64,1,1,0.0009765625,8.27641852083616e-05,29.11750052589923,28.632002067752182,31.85145033057779
4,16,512,64,2,1,0.0009765625,8.016361243790016e-05,50.91700004413724,50.27049919590354,52.3729482665658
4,16,512,64,4,1,0.0009765625,7.838199962861836e-05,50.3719988046214,50.12250039726496,51.39495187904686
4,16,512,64,8,1,0.0009765625,7.838199962861836e-05,50.964500405825675,50.03850092180073,52.898499416187406
4,16,512,64,16,1,0.0009765625,7.838199962861836e-05,51.65899929124862,50.59749819338322,52.0315021276474
4,16,512,128,1,1,0.0009765625,5.96003737882711e-05,29.10250041168183,28.723498689942062,29.93950038217008
4,16,512,128,2,1,0.0009765625,5.8799028920475394e-05,51.067498861812055,50.63145072199404,51.351499860174954
4,16,512,128,4,1,0.0009765625,5.6923265219666064e-05,50.446001114323735,50.284952158108354,50.89799815323204
4,16,512,128,8,1,0.0009765625,5.5889169743750244e-05,50.86449964437634,50.366451614536345,51.27000040374696
4,16,512,128,16,1,0.0009765625,5.5889169743750244e-05,50.771949463523924,50.50850159022957,51.1010002810508
4,16,512,192,1,1,0.00048828125,4.911447467748076e-05,31.015000422485173,30.93650157097727,31.54299920424819
4,16,512,192,2,1,0.0009765625,4.858837928622961e-05,50.75249937362969,50.51249754615128,51.19250272400677
4,16,512,192,4,1,0.00048828125,4.7486155381193385e-05,50.88250036351383,50.764501793310046,51.14995001349598
4,16,512,192,8,1,0.00048828125,4.693051232607104e-05,50.89000042062253,50.37450173404068,51.08049954287708
4,16,512,192,16,1,0.00048828125,4.5706434320891276e-05,50.689998897723854,50.456999451853335,50.8504977915436
4,16,512,256,1,1,0.00048828125,4.3585394450929016e-05,38.85950136464089,38.749497616663575,39.252499118447304
4,16,512,256,2,1,0.00048828125,4.232670835335739e-05,50.85894954390824,50.60099938418716,51.66449991520494
4,16,512,256,4,1,0.00048828125,4.119968070881441e-05,51.1310005094856,51.05099990032613,51.82549939490855
4,16,512,256,8,1,0.00048828125,4.0367114706896245e-05,51.19499983265996,50.7235003169626,51.7234526341781
4,16,512,256,16,1,0.00048828125,3.92188158002682e-05,51.29300116095692,50.7494987687096,51.598448771983385
4,16,512,320,1,1,0.00048828125,3.946469951188192e-05,46.86499887611717,46.7349513201043,47.06000036094338
4,16,512,320,2,1,0.00048828125,3.928030491806567e-05,50.90900231152773,50.539447693154216,51.815001643262804
4,16,512,320,4,1,0.00048828125,3.775693039642647e-05,50.68900063633919,50.52894994150847,50.94099906273186
4,16,512,320,8,1,0.00048828125,3.73664588551037e-05,51.005950081162155,50.90399936307222,51.392498426139355
4,16,512,320,16,1,0.00048828125,3.644289245130494e-05,51.032452029176056,50.53049826528877,51.09799967613071
4,16,512,512,1,1,0.00048828125,3.1453419069293886e-05,70.78495109453797,70.75000030454248,71.19145011529326
4,16,512,512,2,1,0.00048828125,3.111083060503006e-05,51.42299924045801,51.195998094044626,52.4050003150478
4,16,512,512,4,1,0.00048828125,3.069105150643736e-05,50.721000297926366,50.446949899196625,51.31050129421055
4,16,512,512,8,1,0.00048828125,2.967518230434507e-05,50.69550243206322,50.52350170444697,50.999948871321976
