gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,4,1536,4096,asm,0,1,12.8388,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,3.92,492.27,0.0
gfx942,304,4,1536,4096,asm,1,1,12.9251,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,3.89,488.98,0.0
gfx942,304,4,1536,4096,asm,2,1,15.4999,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,3.25,407.75,0.0
gfx942,304,4,1536,4096,asm,3,1,17.6682,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,2.85,357.71,0.0
gfx942,304,4,1536,4096,asm,4,1,20.1544,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,2.5,313.59,0.0
gfx942,304,4,1536,4096,asm,5,1,25.3418,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1.99,249.4,0.0
gfx942,304,4,4096,2048,asm,0,1,14.3925,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,4.66,585.69,0.0
gfx942,304,4,4096,2048,asm,1,1,8.6157,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,7.79,978.4,0.0
gfx942,304,4,4096,2048,asm,2,1,9.6432,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,6.96,874.15,0.0
gfx942,304,4,4096,2048,asm,3,1,11.2136,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,5.98,751.73,0.0
gfx942,304,4,4096,2048,asm,4,1,12.2136,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,5.49,690.18,0.0
gfx942,304,4,4096,2048,asm,5,1,15.2915,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,4.39,551.26,0.0
gfx942,304,4,8192,1024,asm,0,1,7.0032,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,9.58,1207.77,0.0
gfx942,304,4,8192,1024,asm,1,1,6.4327,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,10.43,1314.88,0.0
gfx942,304,4,8192,1024,asm,2,1,6.8158,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,9.85,1240.98,0.0
gfx942,304,4,8192,1024,asm,3,1,7.6601,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,8.76,1104.19,0.0
gfx942,304,4,8192,1024,asm,4,1,8.519,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,7.88,992.87,0.0
gfx942,304,4,8192,1024,asm,5,1,10.2978,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,6.52,821.36,0.0
gfx942,304,5,1536,4096,asm,0,1,21.262,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,2.96,297.59,0.0
gfx942,304,5,1536,4096,asm,1,1,13.0011,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,4.84,486.67,0.0
gfx942,304,5,1536,4096,asm,2,1,15.3884,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,4.09,411.17,0.0
gfx942,304,5,1536,4096,asm,3,1,17.8576,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,3.52,354.32,0.0
gfx942,304,5,1536,4096,asm,4,1,20.3335,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,3.09,311.18,0.0
gfx942,304,5,1536,4096,asm,5,1,25.8934,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,2.43,244.36,0.0
gfx942,304,5,4096,2048,asm,0,1,7.5737,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,11.08,1114.36,0.0
gfx942,304,5,4096,2048,asm,1,1,7.9695,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,10.53,1059.01,0.0
gfx942,304,5,4096,2048,asm,2,1,9.1652,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,9.15,920.85,0.0
