gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,3,1536,4096,ck,0,0,42.8343,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,0.88,147.38,0.0
gfx942,304,3,1536,4096,ck,1,0,21.9019,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1.72,288.24,0.0
gfx942,304,3,1536,4096,ck,2,0,17.8409,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,2.12,353.85,0.0
gfx942,304,3,1536,4096,ck,3,0,15.8662,a8w8_blockscale_bpreshuffle_1x128x128_256x16x256x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,2.38,397.89,0.0
gfx942,304,3,1536,4096,ck,4,0,11.4642,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,3.29,550.67,0.0
gfx942,304,3,1536,4096,ck,5,0,10.0073,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,3.77,630.84,0.0
gfx942,304,3,1536,4096,ck,6,0,10.2684,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,3.68,614.79,0.0
gfx942,304,3,1536,4096,ck,7,0,8.4768,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.45,744.73,0.0
gfx942,304,3,1536,4096,ck,8,0,21.3061,a8w8_blockscale_bpreshuffle_1x128x128_256x32x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1.77,296.3,0.0
gfx942,304,3,1536,4096,ck,9,0,13.6683,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,2.76,461.87,0.0
gfx942,304,3,1536,4096,ck,10,0,12.2704,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,3.08,514.49,0.0
gfx942,304,3,1536,4096,ck,11,0,14.8746,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,2.54,424.41,0.0
gfx942,304,3,1536,4096,ck,12,0,11.1042,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,3.4,568.52,0.0
gfx942,304,3,1536,4096,ck,13,0,38.6996,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,0.98,163.13,0.0
gfx942,304,3,1536,4096,ck,14,0,24.1587,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1.56,261.31,0.0
gfx942,304,3,1536,4096,ck,15,0,17.9314,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,2.11,352.06,0.0
gfx942,304,3,1536,4096,ck,16,0,47.8847,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,0.79,131.84,0.0
gfx942,304,3,1536,4096,ck,17,0,17.6809,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,2.14,357.05,0.0
