T,H,D,kv_len,splits,allclose,max_abs,mean_abs,median_us,min_us,max_us
1,16,512,1024,8,1,0.000244140625,2.2725511371390894e-05,52.301501273177564,48.693950520828366,56.01299926638603
1,16,512,1024,16,1,0.000244140625,2.1978299628244713e-05,49.96249917894602,49.45149994455278,51.16300017107278
1,16,512,1024,32,1,0.00048828125,2.175169538531918e-05,51.079498371109366,49.7970002470538,53.43449884094298
1,16,512,1024,64,1,0.000244140625,2.1517496861633845e-05,50.4135008668527,49.57249911967665,58.16195043735206
1,16,512,1024,128,1,0.000244140625,2.1517496861633845e-05,51.23250011820346,50.037450273521245,54.63850102387369
1,16,512,1024,256,1,0.000244140625,2.1517496861633845e-05,52.299449453130364,50.94700027257204,54.98100072145462
1,16,512,2048,8,1,0.000244140625,1.648914985707961e-05,49.88900036551058,49.37899939250201,50.580999231897295
1,16,512,2048,16,1,0.000244140625,1.6472691640956327e-05,49.12349977530539,48.80244960077107,49.30499999318272
1,16,512,2048,32,1,0.000244140625,1.647650424274616e-05,49.15650060866028,48.74850274063647,50.29049934819341
1,16,512,2048,64,1,0.000244140625,1.597657501406502e-05,49.31699950248003,49.261501408182085,49.74250041414052
1,16,512,2048,128,1,0.000244140625,1.587122824275866e-05,49.15350000374019,48.96300088148564,49.56049961037934
1,16,512,2048,256,1,0.000244140625,1.587122824275866e-05,50.09050073567778,49.94999908376485,50.20294920541346
1,16,512,4096,8,1,0.000244140625,1.3039303667028435e-05,72.45044980663806,72.36399978864938,72.70194764714688
1,16,512,4096,16,1,0.000244140625,1.283089386561187e-05,49.91950117982924,49.570947885513306,50.2900016726926
1,16,512,4096,32,1,0.000244140625,1.260407043446321e-05,48.89999981969595,48.585498007014394,49.10895077046007
1,16,512,4096,64,1,0.000244140625,1.251423054782208e-05,49.30399882141501,48.92494762316346,49.57494966220111
1,16,512,4096,128,1,0.000244140625,1.2658855666813906e-05,48.98100160062313,48.855500062927604,49.396499525755644
1,16,512,4096,256,1,0.000244140625,1.2303326002438553e-05,50.28449813835323,49.93999900761992,50.43894925620407
1,16,512,8192,8,1,0.0001220703125,1.0449039109516889e-05,136.38900127261877,136.32744958158582,136.9349512970075
1,16,512,8192,16,1,0.0001220703125,1.0326854862796608e-05,72.83699815161526,72.77295226231217,73.03000020328909
1,16,512,8192,32,1,0.0001220703125,1.026610698318109e-05,49.71000016666949,49.430449143983424,57.96499899588525
1,16,512,8192,64,1,0.0001220703125,1.0239512448606547e-05,49.440001021139324,49.214501632377505,49.605948152020574
1,16,512,8192,128,1,0.0001220703125,9.919998774421401e-06,48.96845202893019,48.7470009829849,49.25150133203715
1,16,512,8192,256,1,0.0001220703125,9.836845492827706e-06,50.07194995414466,49.80750090908259,50.39300012867898
