gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,30500,1536,4096,asm,5,1,416.8292,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,920.71,539.59,0.0
gfx942,304,30500,4096,2048,asm,5,1,587.8599,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,870.45,545.55,0.0
gfx942,304,30500,4096,4096,asm,5,1,1001.9176,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1021.45,390.81,0.0
gfx942,304,30500,8192,1024,asm,5,1,684.9393,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,747.08,787.42,0.0
